2023-11-16 09:13:50; INFO; Aura Pluing; 9976; 11560] CallLibrary End
2023-11-16 09:13:50; INFO; Aura Pluing; 9976; 11560] CallLibrary Start
2023-11-16 09:13:50; INFO; Aura Pluing; 9976; 11560] CallLibrary End
2023-11-16 09:13:50; ERROR; Aura Pluing; 9976; 11560] [AuraDlg][ResetParameter] Reset Parameter
2023-11-16 09:13:50; WARNING; Aura Pluing; 9976; 11588] [AuraSyncDeviceClass][GetMatrixLEDDevice] In
2023-11-16 09:13:50; WARNING; Aura Pluing; 9976; 11588] [AuraSyncDeviceClass][GetMatrixLEDDevice] Enter Lock
2023-11-16 09:13:50; WARNING; Aura Pluing; 9976; 11588] [ROGAuraInterface][GetDeviceListFromLightingService] from GetMatrixLEDDevice Start
2023-11-16 09:13:50; WARNING; Aura Pluing; 9976; 11588] [ROGAuraInterface][GetDeviceListFromLightingService] GetDeviceListFromLightingService FunctionKey LOCK from GetMatrixLEDDevice
2023-11-16 09:13:50; WARNING; Aura Pluing; 9976; 11588] [ROGAuraInterface][GetDeviceListFromLightingService] Enter LOCK from GetMatrixLEDDevice
2023-11-16 09:13:50; ERROR; Aura Pluing; 9976; 11560] [AuraDlg][CheckKeyboardIsDisconnected] Start
2023-11-16 09:13:50; INFO; Aura Pluing; 9976; 11560] CallLibrary Start
2023-11-16 09:13:50; INFO; Aura Pluing; 9976; 11560] CallLibrary End
2023-11-16 09:13:50; WARNING; Aura Pluing; 9976; 11560] [AuraPlugin][Initial] Subbrand number = 1
2023-11-16 09:13:50; WARNING; Aura Pluing; 9976; 11560] [AuraPlugin][Initial] Productline number = 16
2023-11-16 09:13:50; WARNING; Aura Pluing; 9976; 11560] [AuraDlgLog][GetHidDevice] PRODUCT_LINE = MB, BIOS = 40, ModelType = 41
2023-11-16 09:13:51; INFO; Aura Pluing; 9976; 11560] [AuraDlg][InitializeAURA] InitializeAURA In 
2023-11-16 09:13:51; INFO; Aura Pluing; 9976; 11560] AuraWallpaper's Registry is not Exist !!!
2023-11-16 09:13:51; INFO; Aura Pluing; 9976; 11560] AC_Wallpaper's Registry is not Exist !!!
